district,state,water_level,climate
delhi,delhi,low,semi-arid
anantapur,andhra pradesh,low,arid
chittoor,andhra pradesh,low,semi-arid
guntur,andhra pradesh,medium,humid
kurnool,andhra pradesh,low,arid
visakhapatnam,andhra pradesh,high,humid
guwahati,assam,high,humid
dibrugarh,assam,high,humid
jorhat,assam,high,humid
silchar,assam,high,humid
patna,bihar,high,sub-humid
gaya,bihar,low,semi-arid
muzaffarpur,bihar,medium,sub-humid
bhagalpur,bihar,medium,sub-humid
raipur,chhattisgarh,medium,tropical
bilaspur,chhattisgarh,medium,tropical
bastar,chhattisgarh,high,tropical
panaji,goa,high,humid
ahmedabad,gujarat,low,semi-arid
kutch,gujarat,very_low,arid
surat,gujarat,medium,humid
rajkot,gujarat,low,arid
gurgaon,haryana,low,semi-arid
rohtak,haryana,low,semi-arid
hisar,haryana,very_low,arid
shimla,himachal pradesh,high,mountainous
manali,himachal pradesh,high,mountainous
ranchi,jharkhand,medium,tropical
jamshedpur,jharkhand,medium,tropical
bangalore,karnataka,low,semi-arid
mysore,karnataka,medium,semi-arid
mangalore,karnataka,high,humid
kochi,kerala,high,humid
thiruvananthapuram,kerala,high,humid
kozhikode,kerala,high,humid
bhopal,madhya pradesh,medium,dry-tropical
indore,madhya pradesh,low,dry-tropical
gwalior,madhya pradesh,low,arid
mumbai,maharashtra,high,humid
pune,maharashtra,medium,semi-arid
nagpur,maharashtra,medium,tropical
nashik,maharashtra,low,semi-arid
bhubaneswar,odisha,high,tropical
puri,odisha,high,tropical
amritsar,punjab,medium,semi-arid
ludhiana,punjab,low,semi-arid
jaipur,rajasthan,very_low,arid
jaisalmer,rajasthan,very_low,arid
jodhpur,rajasthan,very_low,arid
udaipur,rajasthan,low,semi-arid
chennai,tamil nadu,low,humid
coimbatore,tamil nadu,medium,semi-arid
madurai,tamil nadu,low,semi-arid
hyderabad,telangana,low,semi-arid
warangal,telangana,low,semi-arid
lucknow,uttar pradesh,medium,sub-humid
kanpur,uttar pradesh,medium,sub-humid
